word,polarity
abalado,-1
abatido,-1
abominação,-1
abrandamento,1
acanhado,-1
acanhamento,-1
acrimonioso,-1
admiração,1
admirado,1
admirável,1
adorável,1
adversidade,-1
afeição,1
afeiçoado,1
afetuoso,1
aflição,-1
aflito,-1
afortunado,1
agonia,-1
agoniado,-1
agonizante,-1
agradável,1
agradecido,1
ajuda,1
alarmante,-1
alegre,1
alegria,1
alegria pelo mau alheio,-1
aliviado,1
alívio,1
altivo,1
amado,1
amargo,-1
amargura,-1
amável,1
amor,1
amoroso,1
angústia,-1
angustiado,-1
angustiante,-1
animado,1
ansiedade,-1
antecipativo,1
apaixonado,1
apavorado,-1
apavorante,-1
aprazível,1
apreciação,1
apreciativo,1
apreço,1
ardor,1
arrependido,-1
arrependimento,-1
assistência humanitária,1
assombro,-1
assustador,-1
atenção,1
atenuado,1
atração,1
atração física,1
atraído,1
auto-complacência,-1
autodepreciação,-1
auto-reprovação,-1
auto-satisfação,1
auxílio,1
aversão,-1
azarado,-1
beatífico,1
beatitude,1
bem-aventurança,1
brabo,-1
bravo,1
caloroso,1
carinhoso,1
cativado,1
coitado,-1
colérico,-1
comiseração,-1
compaixão,-1
compensação,1
complacente,1
compunção,-1
concupiscência,-1
confiança,1
conflito,-1
consciência pesada,-1
consternação,-1
constrangido,-1
constrangimento,-1
contentamento,1
contente,1
contrariado,-1
contrito,-1
coração mole,1
covarde,-1
covardemente,-1
covardia,-1
cuidadoso,1
culpa,-1
culpado,-1
de dar pena,-1
decepção,-1
decepcionado,-1
dedicado,1
deleite,1
delicado,1
deplorável,-1
derrotado,-1
desafortunado,-1
desapontado,-1
descanso,1
desconsolado,-1
desejo,1
desejo sexual,1
desembaraço,1
desgraça,-1
desgraçado,-1
desonra,-1
desonrado,-1
desprezível,-1
devotadíssimo,1
devotado,1
dívida,-1
elação,1
elevação,1
elevado,1
enamorado,1
encabulado,-1
encantado,1
enfezado,-1
enfurecido,-1
enlouquecido,-1
entusiasmo,1
envergonhado,-1
espanto,-1
esperança,1
esperançoso,1
esplendor,1
estima,1
estranheza,-1
estressado,-1
exaltado,1
exasperado,-1
excitação,1
execração,-1
expectante,1
expectativa,1
expiação,-1
exultação,1
exultante,1
felicidade,1
feliz,1
fraco,-1
frustrado,-1
fúria,-1
furioso,-1
galante,1
gana,-1
gosto,1
gratidão,1
gratificação,1
gratificante,1
grato,1
horrendo,-1
horrível,-1
horror,-1
horroroso,-1
hostilidade,-1
humilhação,-1
humilhado,-1
idolátrico,1
ignóbil,-1
ignomínia,-1
impressionante,1
incitado,1
indenização,-1
indignado,-1
infâmia,-1
infeliz,-1
inferior,-1
inflamado,-1
inimizade,-1
inquieto,-1
insegurança,-1
inseguro,-1
integração,-1
inveja,-1
ira,-1
irado,-1
irascível,-1
irritação,-1
irritadiço,-1
irritado,-1
irritável,-1
jovialidade,1
júbilo,1
jubiloso,1
lamentável,-1
lastimoso,-1
louco,-1
louco de raiva,-1
mágoa,-1
majestoso,1
mal,-1
malevolência,-1
malignidade,-1
medo,-1
medonho,-1
medroso,-1
miserável,-1
misericórdia,-1
moderação,1
muito mal,-1
na expectativa,-1
namorico,1
namoro,1
nobre,1
obsessão,-1
ódio,-1
ofendido,-1
olho grande,-1
orgulho,1
orgulhoso,1
orgulhoso de,1
otimista,1
paixão,1
pânico,-1
paternal,1
patético,-1
patos,-1
pavor,-1
pavoroso,-1
pena,-1
penitência,-1
penitente,-1
perturbado,-1
pesaroso,-1
piedade,-1
pobre,-1
prazer,1
prazer no sofrimento alheio,-1
preocupação,-1
preocupado,-1
presunção,-1
presunçoso,-1
problema,-1
radiante,1
raiva,-1
raivoso,-1
rancor,-1
rancoroso,-1
realização,1
receoso,-1
regozijo,-1
remorso,-1
repugnância,-1
ressentido,-1
ressentimento,-1
reverência,1
revoltado,-1
romântico,1
satisfação,1
satisfeito,1
sentimento de culpa,-1
soberba,-1
socorro,1
sofrimento,-1
solidariedade,1
sossego,1
suavizado,1
submisso a esposa,-1
temeroso,-1
temível,-1
temor,-1
terno,1
terrível,-1
terror,-1
tormento,-1
tortura,-1
triste,-1
tristeza,-1
vaidoso,-1
veneração,1
venturoso,1
vergonha,-1
vermelho de raiva,-1
zangado,-1
zeloso,1
